tickers,Total Share Outstanding
DUTCHBANGL,747931250
FAMILYTEX,354160388
ETL,182952000
GLOBALINS,40551763
PRIME1ICBA,100000000
ADVENT,93132732
SONALIPAPR,32945190
CITYGENINS,68166122
EPGL,190163216
LIBRAINFU,1501920
REGENTTEX,128612137
GSPFINANCE,157068585
MEGHNAPET,12000000
BAYLEASING,140888443
KOHINOOR,30637034
APEXSPINN,8400000
CLICL,37500000
MTB,983119746
BPML,173791441
SEMLIBBLSF,100000000
POPULAR1MF,299089027
NORTHERN,2142000
KARNAPHULI,44876114
WALTONHIL,302928343
ABBLPBOND,5710936
CAPMBDBLMF,50131000
GREENDELMF,150000000
UNIQUEHRL,294400000
MIDLANDBNK,639669753
CITYBANK,1224618878
PIONEERINS,88910382
ICBEPMF1S1,75000000
GP,1350300022
SONARBAINS,42043517
MEGHNAINS,40000000
MEGHNALIFE,42405218
PADMAOIL,98232750
AL-HAJTEX,22298549
